certificate_no,customer_no,customer_name,city,state,customer_type
93-R-0088,1161,UNIVERSITY OF LA VERNE,LA VERNE,CA,RESEARCH FACILITY
93-R-0117,1157,MOUNT SAN ANTONIO COLLEGE,WALNUT,CA,RESEARCH FACILITY
93-R-0124,1153,SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0131,1150,UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0136,1149,FOOTHILL COLLEGE,LOS ALTOS HILLS,CA,RESEARCH FACILITY
93-R-0148,1158,CRITICAL CARE RESEARCH INC.,RANCHO CUCAMONGA,CA,RESEARCH FACILITY
93-R-0151,1156,ZOOLOGICAL SOCIETY OF SAN DIEGO,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0153,1154,GIBBON CONSERVATION CENTER,SANTA CLARITA,CA,RESEARCH FACILITY
93-R-0158,7854,ANTIBODIES INC.,DAVIS,CA,RESEARCH FACILITY
93-R-0163,1146,HUBBS-SEA WORLD RESEARCH INSTITUTE,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0183,1138,GENENTECH INC.,SOUTH SAN FRANCISCO,CA,RESEARCH FACILITY
93-R-0189,1143,PACIFIC BIOLABS,HERCULES,CA,RESEARCH FACILITY
93-R-0193,1142,DAVID R YOUNG D.V.M. PH.D.,TURLOCK,CA,RESEARCH FACILITY
93-R-0200,1139,BIOSURG,WINTERS,CA,RESEARCH FACILITY
93-R-0232,1132,SAN JOAQUIN VALLEY COLLEGE,VISALIA,CA,RESEARCH FACILITY
93-R-0251,1128,AMGEN,THOUSAND OAKS,CA,RESEARCH FACILITY
93-R-0260,1125,JOSMAN LLC,NAPA,CA,RESEARCH FACILITY
93-R-0263,1121,SCANTIBODIES LABORATORIES INC.,SANTEE,CA,RESEARCH FACILITY
93-R-0283,1115,ROBERT SARGEANT,RAMONA,CA,RESEARCH FACILITY
93-R-0362,1272,THE INSTITUTE OF CRITICAL CARE MEDICINE,RANCHO MIRAGE,CA,RESEARCH FACILITY
93-R-0363,1274,B L P BIO LAB SERVICES,VISTA,CA,RESEARCH FACILITY
93-R-0371,1304,THE DOG LODGE INC.,LA HABRA,CA,RESEARCH FACILITY
93-R-0380,1344,SANTA CRUZ BIOTECHNOLOGY INC.,SANTA CRUZ,CA,RESEARCH FACILITY
93-R-0382,1288,PHOENIX PHARMACEUTICALS INC.,BURLINGAME,CA,RESEARCH FACILITY
93-R-0389,1707,QED BIOSCIENCES INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0398,1761,"COMPARATIVE BIOSCIENCES, INC.",SUNNYVALE,CA,RESEARCH FACILITY
93-R-0401,1768,INTUITIVE SURGICAL,SUNNYVALE,CA,RESEARCH FACILITY
93-R-0406,1794,THERAVANCE BIOPHARMA US INC.,SOUTH SAN FRANCISCO,CA,RESEARCH FACILITY
93-R-0412,1832,AGBIO COMPANY,MODESTO,CA,RESEARCH FACILITY
93-R-0413,1836,CALIFORNIA STATE UNIVERSITY HUMBOLDT ARCATA,ARCATA,CA,RESEARCH FACILITY
93-R-0415,1838,CALIFORNIA STATE UNIVERSITY- FRESNO,FRESNO,CA,RESEARCH FACILITY
93-R-0416,1839,CALIFORNIA STATE UNIVERSITY FULLERTON,FULLERTON,CA,RESEARCH FACILITY
93-R-0417,1840,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,RESEARCH FACILITY
93-R-0418,1841,CALIFORNIA STATE UNIVERSITY- LONG BEACH,LONG BEACH,CA,RESEARCH FACILITY
93-R-0421,1844,CALIFORNIA STATE POLYTECHNIC UNIVERSITY- POMONA,POMONA,CA,RESEARCH FACILITY
93-R-0422,1845,CALIFORNIA STATE UNIVERSITY SONOMA,ROHNERT PARK,CA,RESEARCH FACILITY
93-R-0423,8237,CALIFORNIA STATE UNIVERSITY SACRAMENTO,SACRAMENTO,CA,RESEARCH FACILITY
93-R-0425,1847,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0426,1848,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,RESEARCH FACILITY
93-R-0427,1849,CALIFORNIA STATE UNIVERSITY- SAN JOSE,SAN JOSE,CA,RESEARCH FACILITY
93-R-0430,8817,21ST CENTURY MEDICINE INC.,FONTANA,CA,RESEARCH FACILITY
93-R-0432,9191,UNIVERSITY OF CALIFORNIA-BERKELEY,BERKELEY,CA,RESEARCH FACILITY
93-R-0433,9192,UNIVERSITY OF CALIFORNIA- DAVIS,DAVIS,CA,RESEARCH FACILITY
93-R-0435,9194,UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CA,RESEARCH FACILITY
93-R-0436,9195,UNIVERSITY OF CALIFORNIA-RIVERSIDE,RIVERSIDE,CA,RESEARCH FACILITY
93-R-0437,9196,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,RESEARCH FACILITY
93-R-0438,9197,UNIVERSITY OF CALIFORNIA-SANTA BARBARA,SANTA BARBARA,CA,RESEARCH FACILITY
93-R-0439,9198,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,SANTA CRUZ,CA,RESEARCH FACILITY
93-R-0440,9199,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SAN FRANCISCO,CA,RESEARCH FACILITY
93-R-0444,10138,ABSORPTION SYSTEMS INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0450,12283,ALLERMED LABORATORIES,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0464,15322,WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CA,RESEARCH FACILITY
93-R-0475,3768,THE MARINE MAMMAL CENTER,SAUSALITO,CA,RESEARCH FACILITY
93-R-0476,3620,MONTEREY BAY AQUARIUM,MONTEREY,CA,RESEARCH FACILITY
93-R-0479,18820,VALLEY BIOSYSTEMS,WEST SACRAMENTO,CA,RESEARCH FACILITY
93-R-0485,24406,GENOMICS INST. OF THE NOVARTIS RESEACH FOUNDATION,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0486,24058,PORTOLA PHARMACEUTICALS INC.,SOUTH SAN FRANCISCO,CA,RESEARCH FACILITY
93-R-0489,25422,GRIFOLS BIOLOGICALS LLC,LOS ANGELES,CA,RESEARCH FACILITY
93-R-0492,27962,CALIFORNIA STATE UNIVERSITY SAN MARCOS,SAN MARCOS,CA,RESEARCH FACILITY
93-R-0496,30943,HANSEN MEDICAL INC.,MOUNTAIN VIEW,CA,RESEARCH FACILITY
93-R-0498,25560,SYNTRON BIORESEARCH INC.,CARLSBAD,CA,RESEARCH FACILITY
93-R-0504,35685,ARAGEN BIOSCIENCE INC.,MORGAN HILL,CA,RESEARCH FACILITY
93-R-0506,36525,T. B. HOLDINGS LLC,SAN CARLOS,CA,RESEARCH FACILITY
93-R-0508,28941,BIOASSIST INC.,VACAVILLE,CA,RESEARCH FACILITY
93-R-0512,39987,EXPLORA BIOLABS,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0516,40242,CARRINGTON COLLEGE,SACRAMENTO,CA,RESEARCH FACILITY
93-R-0519,31509,HALOZYME THERAPEUTICS INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0520,43420,SIMMEC TRAINING SOLUTIONS,OCEANSIDE,CA,RESEARCH FACILITY
93-R-0524,44767,OTONOMY INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0527,321491,CALIFORNIA PROPERTY HOLDINGS I I I LLC,SYLMAR,CA,RESEARCH FACILITY
93-R-0528,321451,AMPHASTAR LABORATORIES INC.,RANCHO CUCAMONGA,CA,RESEARCH FACILITY
93-R-0529,321668,GILEAD SCIENCES INC.,FREMONT,CA,RESEARCH FACILITY
93-R-0530,44181,MAGNETECS CORPORATION,INGLEWOOD,CA,RESEARCH FACILITY
93-R-0532,322137,B T S RESEARCH,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0533,322590,NITTOBO AMERICA INC.,MURRIETA,CA,RESEARCH FACILITY
93-R-0537,323981,ATOPIX PHARMACEUTICALS,ANAHEIM,CA,RESEARCH FACILITY
93-R-0538,3688,KEVIN YATES,VALLEY CENTER,CA,RESEARCH FACILITY
93-R-0543,326082,FERRING RESEARCH INSTITUTE INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0544,324991,COLLEGE OF THE SEQUOIAS,TULARE,CA,RESEARCH FACILITY
93-R-0546,326645,FORCE PRO INC.,MOUNTAIN VIEW,CA,RESEARCH FACILITY
93-R-0547,328057,ICB INTERNATIONAL INC,LA JOLLA,CA,RESEARCH FACILITY
93-R-0548,328065,INCEPTION SCIENCES INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0550,329444,SURPASS- SILICON VALLEY LLC,MOUNTAIN VIEW,CA,RESEARCH FACILITY
93-R-0552,329051,YUBA COLLEGE,MARYSVILLE,CA,RESEARCH FACILITY
93-R-0554,329530,CALIFORNIA INSTITUTE FOR BIOMEDICAL RESEARCH,LA JOLLA,CA,RESEARCH FACILITY
93-R-0556,330653,NIELSEN BIOSCIENCES INC,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0558,330337,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,EMERYVILLE,CA,RESEARCH FACILITY
93-R-0559,330409,STANBRIDGE COLLEGE,IRVINE,CA,RESEARCH FACILITY
93-R-0560,331267,GLOBAL MEDICAL DEVICES INC.,EL CAJON,CA,RESEARCH FACILITY
93-R-0563,331288,THE CALIFORNIA MEDICAL INNOVATIONS INSTITUTE INC.,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0564,331759,MOLECULAR MATRIX INC.,WEST SACRAMENTO,CA,RESEARCH FACILITY
93-R-0565,332284,"J B C CONTRACT RESEARCH SERVICES, INC.",SAN DIEGO,CA,RESEARCH FACILITY
93-R-0566,1846,CALIFORNIA STATE UNIVERSITY SAN BERNARDINO,SAN BERNARDINO,CA,RESEARCH FACILITY
93-R-0567,333052,UNIVERSITY OF CALIFORNIA MERCED,MERCED,CA,RESEARCH FACILITY
93-R-0568,333447,AURIS HEALTH INC,REDWOOD CITY,CA,RESEARCH FACILITY
93-R-0569,329789,ABBIOTEC LLC,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0570,333336,BUCK INSTITUTE FOR RESEARCH ON AGING,NOVATO,CA,RESEARCH FACILITY
93-R-0571,22308,HYGIEIA BIOLOGICAL LABORATORIES,WOODLAND,CA,RESEARCH FACILITY
93-R-0572,324946,NATIONAL MARINE MAMMAL FOUNDATION INC,SAN DIEGO,CA,RESEARCH FACILITY
93-R-0574,335071,ABCORE INC.,RAMONA,CA,RESEARCH FACILITY
93-R-0575,335594,JOINN LABORATORIES C A INC.,RICHMOND,CA,RESEARCH FACILITY
93-R-0577,501064,OEYAMA MOTO CANCER RESEARCH FOUNDATION,WEST COVINA,CA,RESEARCH FACILITY
84-R-0001,1080,NATIONAL JEWISH HEALTH,DENVER,CO,RESEARCH FACILITY
84-R-0003,1195,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,RESEARCH FACILITY
84-R-0007,1086,COLORADO SERUM COMPANY,DENVER,CO,RESEARCH FACILITY
84-R-0008,1087,UNIVERSITY OF NORTHERN COLORADO,GREELEY,CO,RESEARCH FACILITY
84-R-0012,1090,COLORADO MOUNTAIN COLLEGE,GLENWOOD SPGS,CO,RESEARCH FACILITY
84-R-0013,1092,BEL-REA INSTITUTE OF ANIMAL TECHNOLOGY,DENVER,CO,RESEARCH FACILITY
84-R-0045,1096,COLORADO PARKS AND WILDLIFE,FORT COLLINS,CO,RESEARCH FACILITY
84-R-0051,1273,GENESIS LABORATORIES INC.,WELLINGTON,CO,RESEARCH FACILITY
84-R-0059,1834,UNIVERSITY OF COLORADO- DENVER,AURORA,CO,RESEARCH FACILITY
84-R-0060,1835,UNIVERSITY OF COLORADO-BOULDER,BOULDER,CO,RESEARCH FACILITY
84-R-0065,18462,ROCKY MOUNTAIN BIO LABS,CRESTED BUTTE,CO,RESEARCH FACILITY
84-R-0066,21162,BOLDER BIOPATH INC.,BOULDER,CO,RESEARCH FACILITY
84-R-0072,26904,PRE-CLINICAL RESEARCH SERVICES INC.,FORT COLLINS,CO,RESEARCH FACILITY
84-R-0080,323116,RED BEAST ENTERPRISES INC.,FORT COLLINS,CO,RESEARCH FACILITY
84-R-0081,323785,CARE RESEARCH LLC,FORT COLLINS,CO,RESEARCH FACILITY
84-R-0084,329634,"N E K SERVICES, INC.",COLORADO SPRINGS,CO,RESEARCH FACILITY
84-R-0085,329636,WESTON EDUCATIONAL INC.,DENVER,CO,RESEARCH FACILITY
84-R-0086,326713,KYLE TAITT,FORT COLLINS,CO,RESEARCH FACILITY
84-R-0087,331127,COLORADO ACADEMY OF VETERINARY TECHNOLOGY,COLORADO SPRINGS,CO,RESEARCH FACILITY
84-R-0088,331654,"2 CROW SECURITY SOLUTIONS, LLC",WOODLAND PARK,CO,RESEARCH FACILITY
84-R-0089,331569,NOVUS BIOLOGICALS,CENTENNIAL,CO,RESEARCH FACILITY
16-R-0001,48,YALE UNIVERSITY,NEW HAVEN,CT,RESEARCH FACILITY
16-R-0007,51,HARTFORD HOSPITAL,HARTFORD,CT,RESEARCH FACILITY
16-R-0008,52,UNIVERSITY OF CONNECTICUT,STORRS,CT,RESEARCH FACILITY
16-R-0015,812,TRINITY COLLEGE,HARTFORD,CT,RESEARCH FACILITY
16-R-0017,39,CONNECTICUT COLLEGE,NEW LONDON,CT,RESEARCH FACILITY
16-R-0025,44,UCONN HEALTH CENTER,FARMINGTON,CT,RESEARCH FACILITY
16-R-0026,46,QUINNIPIAC UNIVERSITY,HAMDEN,CT,RESEARCH FACILITY
16-R-0029,55,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,RIDGEFIELD,CT,RESEARCH FACILITY
16-R-0031,56,SEA RESEARCH FOUNDATION INC,MYSTIC,CT,RESEARCH FACILITY
16-R-0039,61,THE C T AGRICULTURE EXPERIMENT STATION,NEW HAVEN,CT,RESEARCH FACILITY
16-R-0040,10301,NORTHWESTERN C T COMMUNITY COLLEGE,WINSTED,CT,RESEARCH FACILITY
16-R-0049,41906,COVIDIEN L P,NO HAVEN,CT,RESEARCH FACILITY
16-R-0051,322034,FAIRFIELD UNIVERSITY,FAIRFIELD,CT,RESEARCH FACILITY
16-R-0054,330567,MIDDLESEX COMMUNITY COLLEGE,MIDDLETOWN,CT,RESEARCH FACILITY
16-R-0055,331921,NORWALK COMMUNITY COLLEGE,NORWALK,CT,RESEARCH FACILITY
10-F-0010,20133,US GOVERNMENT SMITHSONIAN INSTITUTION,WASHINGTON,DC,FEDERAL RESEARCH FACILITY
10-R-0001,66,MEDSTAR HEALTH RESEARCH INSTITUTE,WASHINGTON,DC,RESEARCH FACILITY
10-R-0004,69,GEORGETOWN UNIVERSITY,WASHINGTON,DC,RESEARCH FACILITY
10-R-0005,70,THE GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,RESEARCH FACILITY
10-R-0011,59,CHILDRENS NATIONAL MEDICAL CENTER,WASHINGTON,DC,RESEARCH FACILITY
50-R-0006,45,UNIVERSITY OF DELAWARE,NEWARK,DE,RESEARCH FACILITY
50-R-0009,47,THE NEMOURS FOUNDATION,WILMINGTON,DE,RESEARCH FACILITY
50-R-0015,330146,SDIX LLC,NEWARK,DE,RESEARCH FACILITY
50-R-0016,330114,DELAWARE TECHNICAL COMMUNITY COLLEGE,GEORGETOWN,DE,RESEARCH FACILITY
55-R-0146,331472,ABERRANT INC,LAKEWOOD RANCH,FL,RESEARCH FACILITY
58-R-0001,873,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,RESEARCH FACILITY
58-R-0003,859,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,RESEARCH FACILITY
58-R-0005,871,MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,RESEARCH FACILITY
58-R-0007,872,UNIVERSITY OF MIAMI,MIAMI,FL,RESEARCH FACILITY
58-R-0012,874,FLORIDA A AND M UNIVERSITY,TALLAHASSEE,FL,RESEARCH FACILITY
58-R-0015,930,UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,RESEARCH FACILITY
58-R-0021,868,THE MANNHEIMER FOUNDATION INC,HOMESTEAD,FL,RESEARCH FACILITY
58-R-0023,914,ST PETERSBURG COLLEGE,LARGO,FL,RESEARCH FACILITY
58-R-0041,909,MOTE MARINE LABORATORY,SARASOTA,FL,RESEARCH FACILITY
58-R-0121,1663,DUMOND CONSERVANCY FOR PRIMATES & TROPIC,MIAMI,FL,RESEARCH FACILITY
58-R-0126,1796,EASTERN FLORIDA STATE COLLEGE,COCOA,FL,RESEARCH FACILITY
58-R-0128,9738,LEMUR CONSERVATION FOUNDATION,MYAKKA CITY,FL,RESEARCH FACILITY
58-R-0131,3082,LUBEE FOUNDATION INC,GAINESVILLE,FL,RESEARCH FACILITY
58-R-0136,26622,FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FL,RESEARCH FACILITY
58-R-0138,38000,HILLSBOROUGH COMMUNITY COLLEGE,PLANT CITY,FL,RESEARCH FACILITY
58-R-0142,322245,NORTH AMERICAN VETERINARY COMMUNITY,GAINESVILLE,FL,RESEARCH FACILITY
58-R-0144,1298,PRIMATE PRODUCTS INC,IMMOKALEE,FL,RESEARCH FACILITY
58-R-0145,323624,CHI INSTITUTE,REDDICK,FL,RESEARCH FACILITY
58-R-0146,325208,MAX PLANCK FLORIDA CORPORATION,JUPITER,FL,RESEARCH FACILITY
58-R-0148,324274,PENSACOLA STATE COLLEGE,PENSACOLA,FL,RESEARCH FACILITY
58-R-0149,325941,ULTRASOUND TECHNICAL SERVICES INC,FORT LAUDERDALE,FL,RESEARCH FACILITY
58-R-0150,29942,MIAMI DADE COLLEGE MEDICAL CENTER CAMPUS,MIAMI,FL,RESEARCH FACILITY
58-R-0153,40853,FLORIDA HOSPITAL - NICHOLSON CENTER,CELEBRATION,FL,RESEARCH FACILITY
58-R-0155,875,UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FL,RESEARCH FACILITY
58-R-0156,328622,UNIVERSITY OF WEST FLORIDA,PENSACOLA,FL,RESEARCH FACILITY
58-R-0159,334071,TACTICAL ELEMENT INCORPORATED,LADY LAKE,FL,RESEARCH FACILITY
58-R-0161,334978,PRIMERA SCIENCE CENTER LLC,LEHIGH ACRES,FL,RESEARCH FACILITY
57-R-0002,895,AUGUSTA UNIVERSITY,AUGUSTA,GA,RESEARCH FACILITY
57-R-0003,896,EMORY UNIVERSITY,ATLANTA,GA,RESEARCH FACILITY
57-R-0004,910,MERCER UNIVERSITY,MACON,GA,RESEARCH FACILITY
57-R-0005,900,UNIVERSITY OF GEORGIA,ATHENS,GA,RESEARCH FACILITY
57-R-0010,891,GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GA,RESEARCH FACILITY
57-R-0012,907,GEORGIA STATE UNIVERSITY,ATL,GA,RESEARCH FACILITY
57-R-0015,884,T R S LABS INC,ATHENS,GA,RESEARCH FACILITY
57-R-0017,885,FORT VALLEY STATE UNIVERSITY,FORT VALLEY,GA,RESEARCH FACILITY
57-R-0023,880,DIFCO LABORATORIES,GRAYSON,GA,RESEARCH FACILITY
57-R-0116,1719,MERIAL INC,DULUTH,GA,RESEARCH FACILITY
57-R-0120,33666,VALDOSTA STATE UNIVERSITY,VALDOSTA,GA,RESEARCH FACILITY
57-R-0121,37673,GEORGIA SOUTHERN UNIVERSITY,STATESBORO,GA,RESEARCH FACILITY
57-R-0122,38366,TRANSLATIONAL TESTING AND TRAINING LABORATORIES,ATLANTA,GA,RESEARCH FACILITY
57-R-0124,883,MOREHOUSE SCHOOL OF MEDICINE,ATLANTA,GA,RESEARCH FACILITY
57-R-0127,18033,OGEECHEE TECHNICAL COLLEGE,STATESBORO,GA,RESEARCH FACILITY
57-R-0128,334239,SOUTHERN REGIONAL TECHNICAL COLLEGE,THOMASVILLE,GA,RESEARCH FACILITY
95-R-0002,19,UNIVERSITY OF HAWAII AT MANOA,HONOLULU,HI,RESEARCH FACILITY
95-R-0003,18,QUEENS MEDICAL CENTER,HONOLULU,HI,RESEARCH FACILITY
42-G-0001,334305,NATIONAL ANIMAL DISEASE CENTER,AMES,IA,AGRICULTURE RESEARCH FACILITY
42-R-0001,1573,DIAMOND ANIMAL HEALTH INC.,DES MOINES,IA,RESEARCH FACILITY
42-R-0002,1574,DES MOINES UNIVERSITY - O M C,DES MOINES,IA,RESEARCH FACILITY
42-R-0003,1575,IOWA STATE UNIVERSITY,AMES,IA,RESEARCH FACILITY
42-R-0004,1576,UNIVERSITY OF IOWA,IOWA CITY,IA,RESEARCH FACILITY
42-R-0026,1582,KIRKWOOD COMMUNITY COLLEGE,CEDAR RAPIDS,IA,RESEARCH FACILITY
42-R-0031,1653,TRANS OVA GENETICS,SIOUX CENTER,IA,RESEARCH FACILITY
42-R-0036,16632,PALMER COLLEGE OF CHIROPRACTIC,DAVENPORT,IA,RESEARCH FACILITY
42-R-0040,33200,IOWA WESTERN COMMUNITY COLLEGE,COUNCIL BLUFFS,IA,RESEARCH FACILITY
42-R-0042,42217,DES MOINES AREA COMMUNITY COLLEGE,ANKENY,IA,RESEARCH FACILITY
42-R-0044,42842,EXEMPLAR GENETICS,SIOUX CENTER,IA,RESEARCH FACILITY
42-R-0045,21379,WARTBURG COLLEGE,WAVERLY,IA,RESEARCH FACILITY
42-R-0048,323480,MUSCATINE COMMUNITY COLLEGE,MUSCATINE,IA,RESEARCH FACILITY
42-R-0049,327605,IOWA LAKES COMMUNITY COLLEGE,EMMETSBURG,IA,RESEARCH FACILITY
42-R-0050,330262,NORTHEAST IOWA COMMUNITY COLLEGE,CALMAR,IA,RESEARCH FACILITY
42-R-0051,39789,M G BIOLOGICS,AMES,IA,RESEARCH FACILITY
42-R-0052,332105,APE COGNITION AND CONSERVATION INITIATIVE,DES MOINES,IA,RESEARCH FACILITY
