number,title
1311,Volunteers: Security Clearance
1317,Chaplaincy Corps
1318,Espanol Service Program
1320,Senior Victim Assistance Team (SVAT)
1322,Handicap Parking Enforcement Team
1325,Police Cadet Program
1330,Ride-Along Program
1340,Victim Contact Program
1345,Treatment of Victims/Witnesses and Victim Rights Notification
1401,Court Procedures
1405,Expert Witness Fees
1415,Mutual Aid Agreements
1422,Concurrent or Special Jurisdiction
1501,Records Security
1503,NCIC/CCIC Records Validation
1505,Police Employee Information
1510,Criminal Records Information
1515,Juvenile Records
1520,Requests For Bulk Computer Records
1550,Public Information Office And News Media
1551,Recording of Police Activity
1553,Social Media Usage
1580,Articles for Publication
1585,Mail Delivery System
1600,Ethics Committee
1605,Orders and Discretionary Judgment
1610,Discipline
1620,Complaints and Internal Investigations
1623,Mediation of Complaints
1625,Investigative Rights
1626,Rights of Appeal
1630,Drug Testing of Civil Service Employees
1640,Psychological Fitness for Duty
1650,Employee Conduct (Sworn And Civilian)
1655,Police Officer Conduct
1660,Conflicts of Interest
1661,Sick Leave
1662,Work Performance
1663,Uniforms and Appearance
1665,Political Activities
1666,Display and Respect for the United States Flag
1668,Internal Solicitation
1670,Outside Employment
1672,Extra Duty Employment
1680,Personal Appearance and Grooming
1701,Police Training Section
1702,Educational Requirements for Sworn Promotional Positions
1705,Career Development
1720,Remedial Training
1732,Firearms Qualification
1737,PR-24 Baton Training
1760,Executive Development Advisory Board
1770,Police Training Officer Program
1821,Pre-Employment Polygraphs
1830,Performance Evaluation
1835,Complaint Resolution Procedures
1850,Intra-Department Transfers
1855,Retention of Personnel in Specialized Units
1885,Meritorious Service Awards
1887,Gun and Badge Retention
1890,Chief's Vision and Values Award Program
1905,Exposure to Communicable Disease
1910,Employee Injury Reporting
1912,Department Approved Athletics
1915,Health Fitness and Disability Assignments
1917,Early Intervention Program
1930,Meals During Overtime
1940,Threatening Communications
1950,Family Notification: Officer Death or Trauma
1960,Peer Support Program
1963,Psychological Services In Deadly Force Incidents
1965,"Behavioral Health and Wellness, Suicide Prevention and Related Employee Support Services"
1968,Military Support Officer (MSO)
1990,Guidelines for Hardship Requests
